dealer_id,dealer_code,name,trade_name,dealer_type,category,contact_person,contact_phone,contact_email,alternate_phone,address_line1,address_line2,city,district,state,pincode,latitude,longitude,gstin,pan,credit_limit,credit_days,payment_mode,territory_id,sales_person_id,status,onboarding_date,last_order_date,last_visit_date,commitment_fulfillment_rate,avg_days_to_fulfill,created_at,updated_at
34d40fdb-61b7-4fcd-8fd7-b6266b662296,DLR001,Sharma General Store,Sharma General Store,RETAILER,A,Ramesh Sharma,9810341316,ramesh@gmail.com,,"Shop No. 36, Rohini Sec 7",,New Delhi,North Delhi,Delhi,110085,28.740356,77.136487,,VEJRS1928S,50000,15,CREDIT,db7b3194-12f4-4125-a61d-f83ebf2c3b3e,fe0888ac-3ea5-4fba-846c-2294c69f1659,ACTIVE,2022-09-12,2025-02-22,2025-02-14,0.89,3,2022-09-12,2025-01-15 00:00:00
0065fc9e-691f-412d-a732-28b741dbb336,DLR002,Gupta Kirana,Gupta Kirana,RETAILER,A,Suresh Gupta,9811395376,,,"Shop No. 114, Pitampura",,New Delhi,North Delhi,Delhi,110034,28.723113,77.113497,,,50000,7,CREDIT,db7b3194-12f4-4125-a61d-f83ebf2c3b3e,fe0888ac-3ea5-4fba-846c-2294c69f1659,ACTIVE,2024-05-08,2025-01-26,2025-02-17,0.83,5,2024-05-08,2025-01-15 00:00:00
d57aa585-6d50-45b9-b7c3-5ddc5266ff65,DLR003,Verma Traders,Verma Traders,RETAILER,B,Mahesh Verma,9899871012,,9899691669,"Shop No. 60, Model Town",,New Delhi,North Delhi,Delhi,110033,28.707144,77.106982,,,25000,15,CASH,db7b3194-12f4-4125-a61d-f83ebf2c3b3e,fe0888ac-3ea5-4fba-846c-2294c69f1659,ACTIVE,2023-08-02,2025-02-11,2025-02-15,0.9,6,2023-08-02,2025-01-15 00:00:00
2505c043-13e5-425f-a34f-ad854ef43c6b,DLR004,Aggarwal Stores,Aggarwal Stores,RETAILER,B,Pankaj Aggarwal,9810482814,pankaj@gmail.com,,"Shop No. 108, Shalimar Bagh",,New Delhi,North Delhi,Delhi,110088,28.743039,77.100574,,,25000,7,CREDIT,db7b3194-12f4-4125-a61d-f83ebf2c3b3e,fe0888ac-3ea5-4fba-846c-2294c69f1659,ACTIVE,2023-06-25,2025-02-08,2025-02-20,0.65,6,2023-06-25,2025-01-15 00:00:00
7865188e-8b7d-491c-90b0-ffdd5d703d52,DLR005,Singh Provision Store,Singh Provision Store,RETAILER,B,Harpal Singh,8801430391,,,"Shop No. 11, Ashok Vihar",,New Delhi,North Delhi,Delhi,110052,28.709946,77.118696,,,25000,15,CREDIT,db7b3194-12f4-4125-a61d-f83ebf2c3b3e,fe0888ac-3ea5-4fba-846c-2294c69f1659,ACTIVE,2021-02-06,2025-02-17,2025-02-10,0.63,2,2021-02-06,2025-01-15 00:00:00
6768cbbe-636f-40da-9bdd-6bfbbfd44019,DLR006,Bansal Grocers,Bansal Grocers,RETAILER,C,Rohit Bansal,9958465787,rohit@gmail.com,,"Shop No. 16, Rohini Sec 3",Near Metro Station,New Delhi,North Delhi,Delhi,110085,28.748899,77.126635,,,10000,15,CREDIT,db7b3194-12f4-4125-a61d-f83ebf2c3b3e,fe0888ac-3ea5-4fba-846c-2294c69f1659,ACTIVE,2020-12-13,2025-02-04,2025-02-23,0.83,4,2020-12-13,2025-01-15 00:00:00
493470d1-7f49-4d7f-88c7-30d85187f126,DLR007,Jain Supermart,Jain Supermart,RETAILER,C,Pradeep Jain,9958473829,,7042376311,"Shop No. 85, Pitampura Main Market",,New Delhi,North Delhi,Delhi,110034,28.701052,77.127696,,,10000,7,CREDIT,db7b3194-12f4-4125-a61d-f83ebf2c3b3e,fe0888ac-3ea5-4fba-846c-2294c69f1659,ACTIVE,2022-12-02,2025-01-26,2025-02-18,0.62,5,2022-12-02,2025-01-15 00:00:00
b2ef95e6-8719-44a0-917a-1043a02ce2b0,DLR008,Kapoor Store,Kapoor Store,RETAILER,C,Anil Kapoor,7042262473,,,"Shop No. 112, Model Town Part 2",,New Delhi,North Delhi,Delhi,110033,28.720555,77.143192,,LWOBZ0132K,10000,15,CASH,db7b3194-12f4-4125-a61d-f83ebf2c3b3e,fe0888ac-3ea5-4fba-846c-2294c69f1659,ACTIVE,2020-08-24,2025-01-30,2025-02-16,0.66,5,2020-08-24,2025-01-15 00:00:00
ebecfffa-f6cf-46ab-98b0-2cba276c61e7,DLR009,Malhotra Kirana,Malhotra Kirana,RETAILER,C,Sanjay Malhotra,7042234309,sanjay@gmail.com,9810500978,"Shop No. 118, Shalimar Bagh Ring Rd",,New Delhi,North Delhi,Delhi,110088,28.710687,77.120052,,,10000,15,CASH,db7b3194-12f4-4125-a61d-f83ebf2c3b3e,fe0888ac-3ea5-4fba-846c-2294c69f1659,ACTIVE,2020-08-31,2025-02-14,2025-02-23,0.8,3,2020-08-31,2025-01-15 00:00:00
9198bfa1-1b5b-4a67-a310-ac2db2875058,DLR010,Krishna Stores,Krishna Stores,RETAILER,A,Gopal Krishna,9810916998,gopal@gmail.com,,"Shop No. 41, Saket",,New Delhi,South Delhi,Delhi,110017,28.522844,77.23047,,,50000,15,CREDIT,88e6f822-237d-43ea-bf84-34a97853241e,92522288-0375-4a48-a9b2-822815269255,ACTIVE,2024-01-14,2025-01-30,2025-02-23,0.8,3,2024-01-14,2025-01-15 00:00:00
